latlong,beautiful,boring,depressing,lively,safe,wealthy,lat,lon
"-38.697697,-72.53198748",0.4451799161459715,0.28921723150348333,-0.1499132038208142,-0.4454360312966422,-0.039853515038885234,-0.002561785461932198,-38.697697,-72.53198748
"-38.697697,-72.53261330666666",-0.16358116221033447,0.5485225583108044,0.3461550170674321,-0.694804495884235,-0.3337462392614614,-0.45441077546724085,-38.697697,-72.53261330666666
"-38.697697,-72.53323913333332",0.40331111667577435,0.3914324331710639,-0.14310332209330978,-0.2744597179605641,0.28425465216639,0.23728336809593786,-38.697697,-72.53323913333332
"-38.697697,-72.54387818666666",0.16120346676977948,0.27676976419899757,0.03487210020368048,-0.34786037501925526,-0.015384268656119637,-0.06559530354828036,-38.697697,-72.54387818666666
"-38.697697,-72.54450401333332",-0.2223120926770612,0.03814561746534362,0.13734166652833513,0.006346290283300915,-0.0037207002804584555,-0.04270061751947374,-38.697697,-72.54450401333332
"-38.697697,-72.54763314666666",1.005353396359804,-0.4496574294016862,-0.821823669296669,0.3701819736922709,0.41491455844507286,0.5829457286679358,-38.697697,-72.54763314666666
"-38.697697,-72.54825897333333",0.18805991520096255,0.11224299358020046,-0.11978994103523632,-0.011741294346126141,0.22327197779830632,0.21341253087165368,-38.697697,-72.54825897333333
"-38.697697,-72.59206684",0.8034450818210424,-0.7143678603964139,-0.7566354737956096,0.6025390058518105,0.37606921914388236,0.48064689821384876,-38.697697,-72.59206684
"-38.697697,-72.59269266666666",0.8356150370405704,-0.19737081561652225,-0.6041802592297936,0.14441498326386104,0.32763059931005634,0.427563226670034,-38.697697,-72.59269266666666
"-38.697697,-72.63650053333333",0.35332207491210443,0.335649224300407,0.02284870836592967,-0.46907286006904503,-0.15440327536900922,-0.0099387068177208,-38.697697,-72.63650053333333
"-38.697697,-72.65402368000001",-0.2532093021501467,0.042725084016450476,0.20896892462176697,-0.32500290716733926,-0.3622518259243426,-0.29536157472660807,-38.697697,-72.65402368000001
"-38.697697,-72.65464950666667",-0.05390110718583596,0.14947401799611604,0.0805738038651973,-0.05892427487111096,0.06116610687994539,0.0003301201585392821,-38.697697,-72.65464950666667
"-38.697697,-72.65527533333334",-0.31260140839739226,0.16734518249782593,0.23872283681771123,-0.09542122751218929,-0.05895735929236512,-0.14876997808177728,-38.697697,-72.65527533333334
"-38.698082039999996,-72.53261330666666",0.17948421081759647,0.3732703728475534,0.058243674782226584,-0.5410780470779057,-0.189430358106633,-0.22475390663451478,-38.698082039999996,-72.53261330666666
"-38.698082039999996,-72.53323913333332",0.5174680132540104,0.07686671130014866,-0.2693624606464615,-0.20043334650458977,0.05842884613420951,0.11106917399613803,-38.698082039999996,-72.53323913333332
"-38.698082039999996,-72.53386495999999",0.09569165484727127,-0.07315666774465424,-0.18118191007176376,0.1805625072276198,0.23515559913838002,0.10931982524695161,-38.698082039999996,-72.53386495999999
"-38.698082039999996,-72.53449078666667",0.15443222153728153,0.23481688050781513,-0.06402009141837417,-0.131791339752503,0.17649266510470474,0.07478062233257177,-38.698082039999996,-72.53449078666667
"-38.698082039999996,-72.54387818666666",0.05761473170737341,0.3844263525126427,0.15642778841500382,-0.49325702331203225,-0.15009796020544908,-0.18183705623789526,-38.698082039999996,-72.54387818666666
"-38.698082039999996,-72.54450401333332",-0.09844988456892478,0.28343555207214866,0.14917851077590316,-0.26904240573237015,-0.11236759450895017,-0.18081124672421311,-38.698082039999996,-72.54450401333332
"-38.698082039999996,-72.54512984",-0.495546037667308,0.1919677043715935,0.4722952155826592,-0.443511726424773,-0.6103110604534909,-0.6536386385754183,-38.698082039999996,-72.54512984
"-38.698082039999996,-72.54700731999999",0.8100500511671656,-0.00623595628971807,-0.5258450345751173,-0.03529548997880627,0.32177622979164866,0.4734943318646816,-38.698082039999996,-72.54700731999999
"-38.698082039999996,-72.54763314666666",-0.4003461146508809,0.01204663024695185,0.21720471521697693,0.06192808599606092,-0.074475065118071,-0.0970766386964661,-38.698082039999996,-72.54763314666666
"-38.698082039999996,-72.54825897333333",-0.3159944176460705,0.11280740383502386,0.22783888890091064,-0.09327305378150208,-0.1392246276271245,-0.19470050202959954,-38.698082039999996,-72.54825897333333
"-38.698082039999996,-72.5488848",-0.36543732237971205,0.014119615365467353,0.25574866812848374,-0.014760831020649734,-0.14046512242198483,-0.2007773081665265,-38.698082039999996,-72.5488848
"-38.698082039999996,-72.54951062666666",-0.1320627657015765,-0.09833492713977354,0.062387457709496275,-0.03584992278868415,-0.24242596911104508,-0.3254548338864409,-38.698082039999996,-72.54951062666666
"-38.698082039999996,-72.59269266666666",1.032834984132001,-0.4297951464896881,-0.7767719087167939,0.39042084768413177,0.4873896138468594,0.6256408919569618,-38.698082039999996,-72.59269266666666
"-38.698082039999996,-72.63650053333333",0.3393844374643793,0.34689788394853616,0.00782900576911727,-0.5032676483327639,-0.1737793021473797,-0.08018253414296672,-38.698082039999996,-72.63650053333333
"-38.698082039999996,-72.63712636000001",0.2974423774349897,0.3248199230044364,0.016751093745593693,-0.47776888880310797,-0.19885365843044678,-0.1306200646698381,-38.698082039999996,-72.63712636000001
"-38.698082039999996,-72.65402368000001",0.1572892049403607,-0.18615107739000647,-0.1387984702680436,0.1295250991148369,0.1073897314087624,0.0918930757286105,-38.698082039999996,-72.65402368000001
